group,feature,n_participants,mean_signed_interval,mean_abs_interval,mean_logratio,withdrawal_direction_consistency,top10_frequency,logratio_auroc,logratio_pr_auc,abs_interval_auroc
teens,EMBU-M FS,217,-0.041529109005986144,0.4579635766559696,-0.5072965356998937,0.5806451612903226,0.19815668202764977,0.530744176865377,0.3322669481122964,0.477250296091591
teens,EMBU-M OI,217,-0.018220489467099407,0.3734519559632588,-0.3486982945165211,0.2764976958525346,0.12672811059907835,0.6025957362810896,0.3856490210550596,0.49925977102250296
teens,EMBU-M PUN,217,-0.14748042840513062,0.3916560736849954,-0.27270186098590293,0.31336405529953915,0.09907834101382489,0.5576885116462693,0.3548046763754312,0.511004737465456
teens,EMBU-M REJ,217,-0.11888119122128372,0.46601643300695345,-0.3881128819360305,0.3317972350230415,0.1912442396313364,0.5912455586261349,0.3696682786483745,0.4661962100276352
teens,HEI_TS,217,-0.1970729473937936,0.3565401387320888,-4.957502884068963,0.30414746543778803,0.07373271889400922,0.761498223450454,0.5861035222227771,0.32481247532570073
teens,SCL-90 ADD,217,-0.1969457007472868,0.5213281082362289,-0.9786147113048053,0.2903225806451613,0.3456221198156682,0.7397848401105409,0.5679225258563595,0.4605704697986577
teens,SCL-90 ANX,217,-0.14576204273802823,0.31933887432398317,-2.7698333540794122,0.2626728110599078,0.04377880184331797,0.7274970390840901,0.5942217539400081,0.4628405053296486
teens,SCL-90 DEP,217,-0.16934801886797018,0.359952637045581,-2.47026580140782,0.2995391705069124,0.11981566820276497,0.7346525858665615,0.5586097017632553,0.44714765100671144
teens,SCL-90 GSI,217,-0.1435838587890202,0.30486740869948703,-2.898970517817162,0.28110599078341014,0.029953917050691243,0.7308527437820767,0.5724433517911014,0.46313659692064746
teens,SCL-90 HOS,217,-0.1843912649913406,0.49948058465943795,-1.6215114329771638,0.2995391705069124,0.2995391705069124,0.7382550335570469,0.5773158621608288,0.45376036320568497
teens,SCL-90 IS,217,-0.16090595387499784,0.37994017670418545,-2.0746842733732134,0.30414746543778803,0.12903225806451613,0.7304086063955784,0.58868956048437,0.4959534149230162
teens,SCL-90 NST,217,0.22909614553969024,0.5092942518496509,-4.6530522356828135,0.2995391705069124,0.315668202764977,0.6984307145677062,0.531073269020055,0.4489735491512041
teens,SCL-90 OC,217,-0.25875648796642525,0.4795032110818739,-2.8077820055398695,0.31797235023041476,0.2488479262672811,0.7058330043426766,0.5419848514814818,0.4111231741018555
teens,SCL-90 PAR,217,-0.18344264807617974,0.502650984160671,-0.7415400718511981,0.2903225806451613,0.3433179723502304,0.7257698381365969,0.5580731366612218,0.4977299644690091
teens,SCL-90 PHOB,217,-0.1980903098092169,0.5273104801743888,-0.5762900407124403,0.2534562211981567,0.3433179723502304,0.7240426371891038,0.5901978907998316,0.49062376628503745
teens,SCL-90 PSDI,217,-0.18242984071909576,0.3024584940688071,-3.3888974701237133,0.2857142857142857,0.04608294930875576,0.7484208448480063,0.5989016389037781,0.3916304776944335
teens,SCL-90 PST,217,-0.22909614553969004,0.5092942518496508,-4.6530522356828135,0.2995391705069124,0.30184331797235026,0.6984307145677062,0.531073269020055,0.4489735491512041
teens,SCL-90 PSY,217,-0.17568153978779566,0.3598341076115422,-2.804326653324802,0.2672811059907834,0.10829493087557604,0.7428444532175287,0.5606724574645418,0.4245459928938018
teens,SCL-90 SOM,217,-0.16772152870493262,0.3768880536069239,-1.262384336835863,0.23963133640552994,0.1313364055299539,0.7393900513225424,0.6161442060061574,0.48958744571654167
teens,SCL-90 TS,217,-0.14358385878902039,0.30486740869948703,-2.89897024418876,0.28110599078341014,0.027649769585253458,0.7308527437820767,0.5724433517911014,0.46313659692064746
