group,model,feature_set,fold,best_inner_auc,best_params
adults,SVM,full,39,0.7646684385289357,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,40,0.7928832524136391,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,41,0.7852754835029238,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,42,0.7861654063656826,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,43,0.7716774094536526,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,44,0.7925438780065853,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,45,0.7568291881367388,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,46,0.7642601971216152,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,47,0.7857084116177119,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,full,48,0.7699578659523411,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,full,49,0.785001255650427,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,RF,top10,0,0.8287044400419169,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,top10,1,0.7862315992955956,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,2,0.8181753074018268,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,3,0.7666103367933479,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": null}"
adults,RF,top10,4,0.8225783386349685,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,5,0.8059219225713239,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,6,0.7845012044942984,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,top10,7,0.7620275809041924,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,8,0.7944604888665662,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,top10,9,0.7905540208717005,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,10,0.7957705508119872,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,11,0.7951336376347885,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,top10,12,0.7612730861407196,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,13,0.8097288492661422,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,top10,14,0.8011415955131426,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,top10,15,0.7824563351439502,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,16,0.7939641194015042,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,17,0.7895941071240333,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,18,0.8372633447737039,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,19,0.8015488099224287,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,top10,20,0.7356024176696367,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,top10,21,0.8037455587179344,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,top10,22,0.8204628970800701,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": null}"
adults,RF,top10,23,0.8118931022936547,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,24,0.810358418438529,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": null}"
adults,RF,top10,25,0.7924939620266508,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
