group,feature,withdrawal_n,reentry_n,withdrawal_minus_reentry_mean,mean_difference_ci95_low,mean_difference_ci95_high,welch_t,welch_p,cohen_d,bh_fdr_p,bh_fdr_reject_0_05
teens,SCL-90 PSY,68,149,0.7939992104224247,0.5387658879467938,1.0492325328980556,6.172782105074154,1.4874461331563847e-08,1.0238887430332657,3.7186153328909615e-08,True
teens,SCL-90 ADD,68,149,0.8672663696351022,0.595252585341516,1.1392801539286883,6.326582668195614,7.380783649717802e-09,1.0503481273553474,2.0758454014831317e-08,True
teens,SCL-90 TS,68,149,81.52171338333991,58.098247199836464,104.94517956684336,6.9067516729228835,5.028648404088213e-10,1.1515711661392734,2.262891781839696e-09,True
teens,SCL-90 GSI,68,149,0.9057968153704439,0.6455360799981833,1.1660575507427045,6.906751672922886,5.028648404088124e-10,1.1515711661392738,2.262891781839696e-09,True
teens,SCL-90 PST,68,149,26.691768653770232,18.933644790655485,34.44989251688498,6.8081471909866185,3.525345409468836e-10,1.005832316408096,2.262891781839696e-09,True
teens,SCL-90 NST,68,149,-26.69176865377023,-34.44989251688498,-18.933644790655478,-6.808147190986617,3.525345409468867e-10,-1.005832316408096,2.262891781839696e-09,True
teens,SCL-90 PSDI,68,149,0.6738191762776684,0.46720882174399747,0.8804295308113393,6.456851016656583,2.347861703525264e-09,0.9750837943477282,7.546698332759778e-09,True
teens,EMBU-M EW,68,149,-5.337643110935652,-8.94763209846425,-1.7276541234070524,-2.9222899645472307,0.0040307198501911825,-0.40875421462610395,0.0049022268448271145,True
teens,EMBU-M OI,68,149,4.588827477299642,1.6455908895116225,7.532064065087662,3.0856504404929495,0.002500969987071672,0.4586959324244126,0.0031262124838395897,True
teens,EMBU-M REJ,68,149,2.1864390051322538,0.5980543168184198,3.7748236934460877,2.724021634532004,0.007363165106018528,0.40327466237128023,0.008495959737713684,True
teens,EMBU-M PUN,68,149,1.762238452427951,0.1399066727785805,3.384570232077322,2.1523511727889924,0.03352624193240875,0.3366003974974975,0.03679709480386326,True
teens,EMBU-M FS,68,149,-1.256908803789972,-2.61900327749476,0.10518566991481593,-1.8230333467370685,0.07025100892906162,-0.24993903017443517,0.07526893813828031,False
