group,method,metric,n_outer_folds,mean,sd,bootstrap_ci_low,bootstrap_ci_high,n_boot
children,kde_signed_top5_net,withdrawal_pr_auc,10,0.40244581489815767,0.08714287898195569,0.3508172446266781,0.4534774380368876,2000
children,kde_weighted_abs,error_auroc,10,0.6233154932828846,0.05816654594509513,0.5877510613380179,0.6560583116561378,2000
children,kde_weighted_abs,error_pr_auc,10,0.7768113456304374,0.04019250630398831,0.7531100401073888,0.7990499907401287,2000
children,kde_weighted_abs,withdrawal_auroc,10,0.4205743682645856,0.08095225051207794,0.3702011043756967,0.4649720712560387,2000
children,kde_weighted_abs,withdrawal_pr_auc,10,0.3733694683751779,0.05352404114324839,0.34230114651211574,0.40483971585838313,2000
children,kde_weighted_logratio,error_auroc,10,0.2726988133534026,0.04845067589141388,0.24595207136082733,0.30154725347116645,2000
children,kde_weighted_logratio,error_pr_auc,10,0.6019710307341792,0.04920546472418416,0.5711200568497917,0.6296552067991891,2000
children,kde_weighted_logratio,withdrawal_auroc,10,0.7879343180973615,0.05214167289850535,0.7596949902452619,0.8175889248885172,2000
children,kde_weighted_logratio,withdrawal_pr_auc,10,0.6619554161943111,0.07320803694326493,0.6215573521424573,0.7049911067495738,2000
children,kde_weighted_signed,error_auroc,10,0.47809303520776947,0.09131168927070327,0.4235443969923438,0.5288736862774907,2000
children,kde_weighted_signed,error_pr_auc,10,0.6762730409669351,0.05541700402826556,0.6426549700402806,0.7082360123262822,2000
children,kde_weighted_signed,withdrawal_auroc,10,0.5203200483091787,0.12675841555229192,0.4453520705592716,0.592666266025641,2000
children,kde_weighted_signed,withdrawal_pr_auc,10,0.4686317793524747,0.08962312986207945,0.41577978233135465,0.5207714531868817,2000
teens,kde_abs_max,error_auroc,10,0.532345193199256,0.08809033492896001,0.48124107194735855,0.5833475427495903,2000
teens,kde_abs_max,error_pr_auc,10,0.737817275120021,0.05349996302831766,0.7074591606593694,0.7690552387273442,2000
teens,kde_abs_max,withdrawal_auroc,10,0.5166442465580395,0.09793649150992506,0.4616038982569155,0.5737102200959959,2000
teens,kde_abs_max,withdrawal_pr_auc,10,0.42060013658761086,0.1109226224689504,0.35658635807740646,0.48666692174820303,2000
teens,kde_abs_mean,error_auroc,10,0.6371835994205324,0.0967384004163082,0.5777194095687821,0.6957608375897576,2000
teens,kde_abs_mean,error_pr_auc,10,0.8219156047663543,0.0661169933169039,0.7846873464439897,0.8645738808525392,2000
teens,kde_abs_mean,withdrawal_auroc,10,0.41530882910193256,0.07241718340893179,0.3700255462927877,0.4544384236453202,2000
teens,kde_abs_mean,withdrawal_pr_auc,10,0.295914726465816,0.0344994362725172,0.27555292431253375,0.3158616624948724,2000
teens,kde_abs_median,error_auroc,10,0.6314305338424253,0.09431707078852719,0.5750870387845705,0.6832051555693102,2000
teens,kde_abs_median,error_pr_auc,10,0.8275851106508684,0.07530472436069095,0.7832920983956404,0.869658900999284,2000
teens,kde_abs_median,withdrawal_auroc,10,0.40865510925855747,0.10010665003699681,0.3490608421750663,0.4658773209549071,2000
teens,kde_abs_median,withdrawal_pr_auc,10,0.28137897544647417,0.03792177659487245,0.25852276796671203,0.30370959497723643,2000
teens,kde_abs_top10_mean,error_auroc,10,0.5810258846668173,0.08355974575254063,0.5351477679049175,0.6321586349762838,2000
teens,kde_abs_top10_mean,error_pr_auc,10,0.7667991035106183,0.06117584285313636,0.7322550138028179,0.8046983445576558,2000
teens,kde_abs_top10_mean,withdrawal_auroc,10,0.46894278135657447,0.07009203066115556,0.42685182202854616,0.5102729885057471,2000
teens,kde_abs_top10_mean,withdrawal_pr_auc,10,0.38211627910730583,0.09380304682600925,0.32662212191755596,0.4390602670581613,2000
teens,kde_abs_top3_mean,error_auroc,10,0.5434914330138858,0.0896478785433684,0.49105927331699545,0.5975639881647523,2000
teens,kde_abs_top3_mean,error_pr_auc,10,0.7392418213637314,0.05793439543150527,0.7064720069583938,0.7731750350388514,2000
teens,kde_abs_top3_mean,withdrawal_auroc,10,0.5014980421876973,0.08666576547318028,0.44954439813060504,0.5511635089048882,2000
teens,kde_abs_top3_mean,withdrawal_pr_auc,10,0.4241995235453981,0.09866572506079992,0.3680166352374678,0.4818345079125801,2000
teens,kde_abs_top5_mean,error_auroc,10,0.5467841346917325,0.09025666940632403,0.4946542270657007,0.6011150469104981,2000
teens,kde_abs_top5_mean,error_pr_auc,10,0.7416981506421262,0.05950999777015495,0.7094074044609463,0.7798096449717903,2000
teens,kde_abs_top5_mean,withdrawal_auroc,10,0.49814386762662616,0.08593788933708398,0.44948844259189086,0.5483861468990778,2000
teens,kde_abs_top5_mean,withdrawal_pr_auc,10,0.4137226633987048,0.09807429657684047,0.3564949720912178,0.4744954594507121,2000
teens,kde_logratio_mean,error_auroc,10,0.28050588233447005,0.10416310693027578,0.22131464183882196,0.34346538420035483,2000
teens,kde_logratio_mean,error_pr_auc,10,0.6459577225795197,0.09679307028668459,0.5856453221027391,0.7027524797604031,2000
teens,kde_logratio_mean,withdrawal_auroc,10,0.7867955033472276,0.09368058881439174,0.7299172350637868,0.8406118005557662,2000
teens,kde_logratio_mean,withdrawal_pr_auc,10,0.6702059737233804,0.1283703862267603,0.5984771784028226,0.7497827480890706,2000
teens,kde_logratio_sum,error_auroc,10,0.28050588233447005,0.10416310693027578,0.21848538903025908,0.34290131031792215,2000
teens,kde_logratio_sum,error_pr_auc,10,0.6459577225795197,0.09679307028668459,0.5879113225074315,0.7032023473267001,2000
teens,kde_logratio_sum,withdrawal_auroc,10,0.7867955033472276,0.09368058881439174,0.7321498673740053,0.841069770746495,2000
teens,kde_logratio_sum,withdrawal_pr_auc,10,0.6702059737233804,0.1283703862267603,0.602273763135805,0.7488267787349828,2000
teens,kde_logratio_top5_net,error_auroc,10,0.3076178003385522,0.10668669869425249,0.24457557113512293,0.3693751473860686,2000
teens,kde_logratio_top5_net,error_pr_auc,10,0.6501498465494964,0.09922427710825675,0.5865907082133451,0.7051054159897283,2000
teens,kde_logratio_top5_net,withdrawal_auroc,10,0.7573626373626374,0.09872395349030544,0.7019587912087912,0.8209635989010988,2000
teens,kde_logratio_top5_net,withdrawal_pr_auc,10,0.6249832563227825,0.14715393534373017,0.5446891837332613,0.717998570111129,2000
teens,kde_meta_lr_logratio,error_auroc,10,0.32612983257935985,0.09442155892222677,0.2703243162476575,0.3835997199134333,2000
teens,kde_meta_lr_logratio,error_pr_auc,10,0.6479077590306073,0.07401813770046335,0.6045939488646868,0.6924410364977809,2000
teens,kde_meta_lr_logratio,withdrawal_auroc,10,0.7218157130226096,0.10864238104609089,0.6591223316912973,0.7850452823039029,2000
teens,kde_meta_lr_logratio,withdrawal_pr_auc,10,0.5615230627581316,0.12778647417805467,0.4883066204913354,0.6353149193103105,2000
teens,kde_meta_lr_signed,error_auroc,10,0.3146973742568781,0.09202600533735879,0.2617980611632374,0.3643654721952764,2000
teens,kde_meta_lr_signed,error_pr_auc,10,0.6492707813086962,0.09983366305438719,0.5893081090527315,0.711080702126894,2000
teens,kde_meta_lr_signed,withdrawal_auroc,10,0.7373961096374889,0.07887652695258036,0.6944311765820386,0.7831629247189591,2000
teens,kde_meta_lr_signed,withdrawal_pr_auc,10,0.5801608859581523,0.10901864150118744,0.5177932194539343,0.6487507456827859,2000
teens,kde_signed_mean,error_auroc,10,0.35117545994921995,0.08416907952505245,0.3006764204123974,0.3970430302787641,2000
teens,kde_signed_mean,error_pr_auc,10,0.6597758192092308,0.09584838233951475,0.5997200341362237,0.7122931808857504,2000
teens,kde_signed_mean,withdrawal_auroc,10,0.7147701149425288,0.08253957215056688,0.6679258715422508,0.7607628363016294,2000
teens,kde_signed_mean,withdrawal_pr_auc,10,0.621697450592228,0.13598207911873836,0.5443271059573416,0.7074438791283859,2000
teens,kde_signed_top5_net,error_auroc,10,0.46140355180807885,0.07994621201312992,0.41338437808401984,0.5087670008914636,2000
teens,kde_signed_top5_net,error_pr_auc,10,0.7046721701442301,0.07811245643362702,0.6590996567244161,0.7507691235657171,2000
